Device/Package xc7z045fbg676 9/18/2012 10:02:27                                                                                              
                                                                                                    
Pin   Pin Name                 Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
A4    IO_L22P_T3_34            3                  34    NA            NA                  HP        NA
A3    IO_L22N_T3_34            3                  34    NA            NA                  HP        NA
C2    IO_L23P_T3_34            3                  34    NA            NA                  HP        NA
B1    IO_L23N_T3_34            3                  34    NA            NA                  HP        NA
B2    IO_L24P_T3_34            3                  34    NA            NA                  HP        NA
A2    IO_L24N_T3_34            3                  34    NA            NA                  HP        NA
K10   IO_25_VRP_34             NA                 34    NA            NA                  HP        NA
H16   IO_0_VRN_35              NA                 35    NA            NA                  HP        NA
F12   IO_L1P_T0_AD0P_35        0                  35    NA            NA                  HP        NA
E12   IO_L1N_T0_AD0N_35        0                  35    NA            NA                  HP        NA
E10   IO_L2P_T0_AD8P_35        0                  35    NA            NA                  HP        NA
D10   IO_L2N_T0_AD8N_35        0                  35    NA            NA                  HP        NA
G10   IO_L3P_T0_DQS_AD1P_35    0                  35    NA            NA                  HP        NA
F10   IO_L3N_T0_DQS_AD1N_35    0                  35    NA            NA                  HP        NA
E11   IO_L4P_T0_35             0                  35    NA            NA                  HP        NA
D11   IO_L4N_T0_35             0                  35    NA            NA                  HP        NA
G12   IO_L5P_T0_AD9P_35        0                  35    NA            NA                  HP        NA
G11   IO_L5N_T0_AD9N_35        0                  35    NA            NA                  HP        NA
F13   IO_L6P_T0_35             0                  35    NA            NA                  HP        NA
E13   IO_L6N_T0_VREF_35        0                  35    NA            NA                  HP        NA
H13   IO_L7P_T1_AD2P_35        1                  35    NA            NA                  HP        NA
H12   IO_L7N_T1_AD2N_35        1                  35    NA            NA                  HP        NA
K13   IO_L8P_T1_AD10P_35       1                  35    NA            NA                  HP        NA
J13   IO_L8N_T1_AD10N_35       1                  35    NA            NA                  HP        NA
K15   IO_L9P_T1_DQS_AD3P_35    1                  35    NA            NA                  HP        NA
J15   IO_L9N_T1_DQS_AD3N_35    1                  35    NA            NA                  HP        NA
G16   IO_L10P_T1_AD11P_35      1                  35    NA            NA                  HP        NA
G15   IO_L10N_T1_AD11N_35      1                  35    NA            NA                  HP        NA
G14   IO_L11P_T1_SRCC_35       1                  35    NA            NA                  HP        NA
F14   IO_L11N_T1_SRCC_35       1                  35    NA            NA                  HP        NA
J14   IO_L12P_T1_MRCC_35       1                  35    NA            NA                  HP        NA
H14   IO_L12N_T1_MRCC_35       1                  35    NA            NA                  HP        NA
D15   IO_L13P_T2_MRCC_35       2                  35    NA            NA                  HP        NA
D14   IO_L13N_T2_MRCC_35       2                  35    NA            NA                  HP        NA
F15   IO_L14P_T2_AD4P_SRCC_35  2                  35    NA            NA                  HP        NA
E15   IO_L14N_T2_AD4N_SRCC_35  2                  35    NA            NA                  HP        NA
C17   IO_L15P_T2_DQS_AD12P_35  2                  35    NA            NA                  HP        NA
C16   IO_L15N_T2_DQS_AD12N_35  2                  35    NA            NA                  HP        NA
E16   IO_L16P_T2_35            2                  35    NA            NA                  HP        NA
D16   IO_L16N_T2_35            2                  35    NA            NA                  HP        NA
B16   IO_L17P_T2_AD5P_35       2                  35    NA            NA                  HP        NA
B15   IO_L17N_T2_AD5N_35       2                  35    NA            NA                  HP        NA
B17   IO_L18P_T2_AD13P_35      2                  35    NA            NA                  HP        NA
A17   IO_L18N_T2_AD13N_35      2                  35    NA            NA                  HP        NA
D13   IO_L19P_T3_35            3                  35    NA            NA                  HP        NA
C13   IO_L19N_T3_VREF_35       3                  35    NA            NA                  HP        NA
C14   IO_L20P_T3_AD6P_35       3                  35    NA            NA                  HP        NA
B14   IO_L20N_T3_AD6N_35       3                  35    NA            NA                  HP        NA
A15   IO_L21P_T3_DQS_AD14P_35  3                  35    NA            NA                  HP        NA
A14   IO_L21N_T3_DQS_AD14N_35  3                  35    NA            NA                  HP        NA
C12   IO_L22P_T3_AD7P_35       3                  35    NA            NA                  HP        NA
B12   IO_L22N_T3_AD7N_35       3                  35    NA            NA                  HP        NA
C11   IO_L23P_T3_35            3                  35    NA            NA                  HP        NA
B11   IO_L23N_T3_35            3                  35    NA            NA                  HP        NA
A13   IO_L24P_T3_AD15P_35      3                  35    NA            NA                  HP        NA
A12   IO_L24N_T3_AD15N_35      3                  35    NA            NA                  HP        NA
K12   IO_25_VRP_35             NA                 35    NA            NA                  HP        NA
AC2   MGTXTXP3_111             NA                 111   NA            NA                  GTX       7Z030
AD4   MGTXRXP3_111             NA                 111   NA            NA                  GTX       7Z030
AC1   MGTXTXN3_111             NA                 111   NA            NA                  GTX       7Z030
AD3   MGTXRXN3_111             NA                 111   NA            NA                  GTX       7Z030
AE2   MGTXTXP2_111             NA                 111   NA            NA                  GTX       7Z030
AC6   MGTXRXP2_111             NA                 111   NA            NA                  GTX       7Z030
AE1   MGTXTXN2_111             NA                 111   NA            NA                  GTX       7Z030
W6    MGTREFCLK0P_111          NA                 111   NA            NA                  GTX       7Z030
AC5   MGTXRXN2_111             NA                 111   NA            NA                  GTX       7Z030
W5    MGTREFCLK0N_111          NA                 111   NA            NA                  GTX       7Z030
AA5   MGTREFCLK1N_111          NA                 111   NA            NA                  GTX       7Z030
AA6   MGTREFCLK1P_111          NA                 111   NA            NA                  GTX       7Z030
AF4   MGTXTXP1_111             NA                 111   NA            NA                  GTX       7Z030
AE6   MGTXRXP1_111             NA                 111   NA            NA                  GTX       7Z030
AF3   MGTXTXN1_111             NA                 111   NA            NA                  GTX       7Z030
AE5   MGTXRXN1_111             NA                 111   NA            NA                  GTX       7Z030
AF8   MGTXTXP0_111             NA                 111   NA            NA                  GTX       7Z030
AD8   MGTXRXP0_111             NA                 111   NA            NA                  GTX       7Z030
AF7   MGTXTXN0_111             NA                 111   NA            NA                  GTX       7Z030
AD7   MGTXRXN0_111             NA                 111   NA            NA                  GTX       7Z030
R2    MGTXTXP3_112             NA                 112   NA            NA                  GTX       NA
T4    MGTXRXP3_112             NA                 112   NA            NA                  GTX       NA
R1    MGTXTXN3_112             NA                 112   NA            NA                  GTX       NA
T3    MGTXRXN3_112             NA                 112   NA            NA                  GTX       NA
U2    MGTXTXP2_112             NA                 112   NA            NA                  GTX       NA
V4    MGTXRXP2_112             NA                 112   NA            NA                  GTX       NA
U1    MGTXTXN2_112             NA                 112   NA            NA                  GTX       NA
