Device/Package xc7z045ffg900 9/18/2012 09:53:04                                                                                              
                                                                                                    
Pin   Pin Name                 Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
E5    IO_L13N_T2_MRCC_33       2                  33    0             NA                  HP        NA
F4    IO_L14P_T2_SRCC_33       2                  33    0             NA                  HP        NA
F3    IO_L14N_T2_SRCC_33       2                  33    0             NA                  HP        NA
E6    IO_L15P_T2_DQS_33        2                  33    0             NA                  HP        NA
D5    IO_L15N_T2_DQS_33        2                  33    0             NA                  HP        NA
D4    IO_L16P_T2_33            2                  33    0             NA                  HP        NA
D3    IO_L16N_T2_33            2                  33    0             NA                  HP        NA
E3    IO_L17P_T2_33            2                  33    0             NA                  HP        NA
E2    IO_L17N_T2_33            2                  33    0             NA                  HP        NA
E1    IO_L18P_T2_33            2                  33    0             NA                  HP        NA
D1    IO_L18N_T2_33            2                  33    0             NA                  HP        NA
C4    IO_L19P_T3_33            3                  33    0             NA                  HP        NA
C3    IO_L19N_T3_VREF_33       3                  33    0             NA                  HP        NA
B5    IO_L20P_T3_33            3                  33    0             NA                  HP        NA
B4    IO_L20N_T3_33            3                  33    0             NA                  HP        NA
A5    IO_L21P_T3_DQS_33        3                  33    0             NA                  HP        NA
A4    IO_L21N_T3_DQS_33        3                  33    0             NA                  HP        NA
C2    IO_L22P_T3_33            3                  33    0             NA                  HP        NA
C1    IO_L22N_T3_33            3                  33    0             NA                  HP        NA
B2    IO_L23P_T3_33            3                  33    0             NA                  HP        NA
B1    IO_L23N_T3_33            3                  33    0             NA                  HP        NA
A3    IO_L24P_T3_33            3                  33    0             NA                  HP        NA
A2    IO_L24N_T3_33            3                  33    0             NA                  HP        NA
L4    IO_25_VRP_33             NA                 33    0             NA                  HP        NA
M12   IO_0_VRN_34              NA                 34    0             NA                  HP        NA
B10   IO_L1P_T0_34             0                  34    0             NA                  HP        NA
A10   IO_L1N_T0_34             0                  34    0             NA                  HP        NA
B9    IO_L2P_T0_34             0                  34    0             NA                  HP        NA
A9    IO_L2N_T0_34             0                  34    0             NA                  HP        NA
